iter	RMSE
0	14.10519859
1	13.33157564
2	12.48416925
3	11.73599791
4	11.1321611
5	10.65855904
6	10.12499011
7	9.672609067
8	9.224992325
9	8.871099641
10	8.499652507
11	8.197921653
12	7.937484994
13	7.667463853
14	7.453933309
15	7.247117122
16	7.078086897
17	6.939886454
18	6.815121277
19	6.711609315
20	6.564957148
21	6.447381904
22	6.345387912
23	6.270884701
24	6.177598512
25	6.120447926
26	6.072934112
27	6.02358528
28	5.968433599
29	5.930090667
30	5.881139922
31	5.851609238
32	5.804439237
33	5.771035124
34	5.729989288
35	5.698232194
36	5.665319953
37	5.647738612
38	5.622978219
39	5.587526175
40	5.576581681
41	5.554284688
42	5.535075969
43	5.515490162
44	5.491977023
45	5.475883942
46	5.459676585
47	5.445564533
48	5.427272455
49	5.415656923
50	5.401523465
51	5.388571711
52	5.382324573
53	5.369421102
54	5.355178559
55	5.348616556
56	5.339779458
57	5.326951182
58	5.319049276
59	5.309782084
60	5.302717838
61	5.297240733
62	5.290577789
63	5.283963419
64	5.276630783
65	5.272154242
66	5.261569393
67	5.258344581
68	5.246227643
69	5.235085161
70	5.228561784
71	5.222693014
72	5.217977346
73	5.216891353
74	5.213814136
75	5.207449654
76	5.193257339
77	5.188456023
78	5.185486303
79	5.178192543
80	5.172800251
81	5.168513935
82	5.163407994
83	5.162647317
84	5.159007056
85	5.153158746
86	5.148742855
87	5.143982578
88	5.139516063
89	5.134913057
90	5.126282508
91	5.12025947
92	5.11178519
93	5.10895891
94	5.100323416
95	5.090529428
96	5.083867297
97	5.081706115
98	5.078005769
99	5.076164346
100	5.071737673
101	5.067441889
102	5.054072394
103	5.049703489
104	5.039819643
105	5.033565521
106	5.030779217
107	5.029816673
108	5.027000347
109	5.020136161
110	5.018042081
111	5.014633666
112	5.010999957
113	5.002729523
114	5.000465309
115	4.997842003
116	4.990795102
117	4.985208563
118	4.981441305
119	4.976308423
120	4.966801641
121	4.964044237
122	4.954714733
123	4.948746633
124	4.93997234
125	4.930563024
126	4.92501997
127	4.917428235
128	4.909012483
129	4.90197284
130	4.901475298
131	4.894919882
132	4.889695893
133	4.886636204
134	4.882754388
135	4.879323914
136	4.867066296
137	4.85913162
138	4.847355493
139	4.843179327
140	4.837328198
141	4.835677815
142	4.830836601
143	4.822633725
144	4.815616748
145	4.811056459
146	4.807457766
147	4.796287754
148	4.789211103
149	4.781659987
150	4.77943235
151	4.778363717
152	4.776281966
153	4.775131332
154	4.770806349
155	4.770087172
156	4.763174668
157	4.755426271
158	4.750145187
159	4.744455311
160	4.741054477
161	4.736786482
162	4.732918499
163	4.723238762
164	4.720827543
165	4.714904399
166	4.713501769
167	4.705581932
168	4.702665601
169	4.697225102
170	4.691322629
171	4.682682142
172	4.675242335
173	4.670873045
174	4.666339104
175	4.664196208
176	4.663575898
177	4.653438942
178	4.651464304
179	4.646782921
180	4.638531883
181	4.629334094
182	4.623654484
183	4.617030274
184	4.614723612
185	4.611267579
186	4.604550167
187	4.599597338
188	4.591126479
189	4.586486399
190	4.58613689
191	4.580115775
192	4.572234737
193	4.567558977
194	4.561697337
195	4.559244714
196	4.555429574
197	4.55270549
198	4.550658101
199	4.544525315
