iter	Passed	Remaining
0	1	263
1	2	240
2	4	304
3	5	291
4	7	278
5	8	267
6	9	258
7	10	250
8	11	245
9	12	242
10	13	237
11	15	237
12	16	238
13	20	266
14	21	264
15	22	258
16	23	251
17	24	246
18	25	242
19	26	238
20	27	234
21	28	230
22	29	226
23	30	223
24	32	227
25	33	226
26	34	223
27	35	220
28	37	219
29	38	218
30	40	218
31	41	216
32	42	213
33	43	210
34	44	207
35	45	205
36	47	208
37	48	206
38	49	205
39	50	203
40	51	201
41	52	199
42	53	196
43	54	194
44	55	192
45	57	191
46	58	189
47	59	188
48	61	188
49	62	186
50	63	184
51	64	182
52	65	181
53	66	179
54	67	177
55	68	175
56	69	173
57	70	172
58	71	170
59	72	169
60	74	168
61	75	168
62	76	167
63	77	165
64	78	163
65	79	161
66	80	159
67	81	158
68	82	156
69	83	155
70	84	153
71	85	152
72	86	150
73	88	151
74	90	151
75	91	149
76	92	148
77	93	146
78	94	145
79	95	143
80	96	142
81	97	140
82	98	139
83	99	137
84	100	136
85	103	137
86	104	136
87	105	134
88	106	133
89	108	132
90	109	130
91	110	129
92	111	127
93	112	126
94	112	124
95	113	123
96	114	121
97	115	120
98	118	120
99	119	119
100	120	118
101	121	116
102	122	115
103	123	114
104	124	112
105	125	111
106	126	110
107	127	108
108	128	107
109	129	105
110	131	105
111	132	104
112	134	103
113	136	103
114	137	101
115	138	100
116	139	99
117	141	98
118	142	96
119	143	95
120	144	94
121	146	93
122	147	92
123	148	91
124	149	89
125	151	88
126	152	87
127	152	86
128	153	84
129	155	83
130	156	82
131	157	80
132	158	79
133	159	78
134	161	77
135	162	76
136	163	75
137	164	73
138	165	72
139	166	71
140	167	70
141	168	68
142	169	67
143	170	66
144	171	64
145	172	63
146	173	62
147	175	61
148	176	60
149	177	59
150	178	57
151	179	56
152	180	55
153	180	54
154	181	52
155	182	51
156	183	50
157	184	49
158	185	47
159	187	46
160	189	45
161	190	44
162	191	43
163	192	42
164	193	41
165	194	39
166	195	38
167	196	37
168	197	36
169	198	34
170	199	33
171	200	32
172	202	31
173	203	30
174	204	29
175	206	28
176	207	26
177	208	25
178	209	24
179	210	23
180	211	22
181	212	20
182	213	19
183	214	18
184	216	17
185	217	16
186	218	15
187	219	14
188	220	12
189	221	11
190	223	10
191	224	9
192	225	8
193	226	6
194	227	5
195	228	4
196	231	3
197	232	2
198	236	1
199	237	0
